descrizione,african,asian,caucasian,torso_dorsi_muscle,torso_pectoral_muscle,muscle,age,weight,height,proportions,breast_size,breast_firmness,vertical_position,gender,horizontal_distance,pointiness,breast_volume,nipple_size,nipple_point,face_head_fat,face_angle,face_oval,face_round,face_rectangular,face_square,face_triangular,face_invertedtriangular,face_diamond,face_age,torso_scale_depht,torso_scale_horizontally,torso_scale_vertically,torso_move_horizontally,torso_move_depht,torso_scale_cone_shape,fingers_distance,fingers_diameter,fingers_lenght,scale_hand,hand_position,neck_circum,neck_height,"('torso_scale_depht', 'torso_scale_horizontally', 'torso_scale_vertically', 'torso_move_horizontally', 'torso_move_depht', 'torso_scale_cone_shape')"
"Crea una persona di genere neutro con etnia europea, muscolatura atletica, età 32, peso 77kg, altezza 178cm.",0,0,100,60,60,75,32,77,178,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea un uomo giovane con etnia africana, muscolatura possente, età 27, peso 90kg, altezza 185cm.",100,0,0,90,90,90,27,90,185,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una donna adulta con etnia asiatica, muscolatura snella, età 35, peso 62kg, altezza 170cm.",0,100,0,0,0,40,35,62,170,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona di genere neutro con etnia caucasica, muscolatura definita, età 29, peso 74kg, altezza 175cm.",0,0,100,70,70,65,29,74,175,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea un uomo adulto con etnia europea, muscolatura imponente, età 40, peso 95kg, altezza 190cm.",0,0,100,90,90,95,40,95,190,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una donna giovane con etnia africana, muscolatura scolpita, età 28, peso 68kg, altezza 172cm.",100,0,0,80,80,80,28,68,172,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona di genere neutro con etnia asiatica, muscolatura snella e tonica, età 31, peso 71kg, altezza 176cm.",0,100,0,0,0,40,31,71,176,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea una donna snella di pelle chiara, età 25, peso 55kg, altezza 165cm.",0,0,100,0,0,40,25,55,165,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea un uomo robusto di pelle scura, età 35, peso 100kg, altezza 185cm.",100,0,0,0,0,30,35,100,185,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una persona di genere neutro snella di pelle media, età 30, peso 70kg, altezza 175cm.",50,50,50,0,0,40,30,70,175,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea un uomo snello di pelle chiara, età 22, peso 65kg, altezza 178cm.",0,0,100,30,30,65,22,65,178,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea una persona di genere neutro robusta di pelle scura, età 33, peso 95kg, altezza 180cm.",100,0,0,0,0,30,33,95,180,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una donna snella di pelle abbronzata, età 28, peso 60kg, altezza 167cm.",70,0,40,0,0,40,28,60,167,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea un uomo robusto di pelle chiara, età 45, peso 110kg, altezza 190cm.",0,0,100,0,0,30,45,110,190,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una donna robusta di pelle scura, età 36, peso 92kg, altezza 175cm.",100,0,0,0,0,30,36,92,175,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea un uomo giovane con pelle media, muscolatura scolpita, età 25, peso 75kg, altezza 178cm.",50,50,50,80,80,80,25,75,178,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una persona di genere neutro con pelle chiara, corpo atletico e vita proporzionata, età 31, peso 74kg, altezza 177cm.",0,0,100,70,70,65,31,74,177,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea un uomo giovane con pelle media, muscolatura scolpita, età 25, peso 75kg, altezza 178cm.",50,50,70,80,80,80,25,75,178,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una donna adulta con pelle chiara, corpo atletico, età 30, peso 68kg, altezza 170cm.",0,0,100,70,70,65,30,68,170,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona di genere neutro con pelle scura, corpo snello e busto proporzionato, età 29, peso 70kg, altezza 175cm.",100,0,0,0,0,40,29,70,175,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea un uomo adulto con pelle chiara,busto muscoloso, età 35, peso 88kg, altezza 185cm.",0,0,100,80,80,80,35,88,185,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una donna giovane con pelle media, vita snella, età 26, peso 60kg, altezza 165cm.",50,50,40,0,0,40,26,60,165,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona di genere neutro con pelle chiara, corpo atletico e vita proporzionata, età 31, peso 74kg, altezza 177cm.",0,0,100,50,50,65,31,74,177,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea un uomo adulto con pelle media, corporatura muscolosa, età 40, peso 85kg, altezza 180cm.",50,50,75,80,80,80,40,85,180,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una donna adulta con pelle scura, vita proporzionata, età 34, peso 65kg, altezza 168cm.",100,0,0,0,0,50,34,65,168,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona giovane con pelle media, corpo snello e busto proporzionato, età 22, peso 68kg, altezza 170cm.",50,50,40,0,0,40,22,68,170,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea un uomo giovane con pelle scura, muscolatura scolpita, età 28, peso 80kg, altezza 182cm.",100,0,0,80,80,80,28,80,182,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,40,50.0,45.0,50.0,50.0,50.0,50
"Crea un uomo snello di pelle media, 24 anni, peso 68kg, altezza 175cm.",50,50,40,0,0,40,24,68,175,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea una donna robusta di pelle chiara, età 38, peso 90kg, altezza 172cm.",0,0,100,0,0,30,38,90,172,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona di genere neutro snella con pelle chiara, 29 anni, peso 62kg, altezza 168cm.",0,0,100,0,0,40,29,62,168,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea una donna muscolosa di pelle media, 32 anni, peso 75kg, altezza 170cm.",50,50,70,70,70,70,32,75,170,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona giovane di genere neutro con pelle chiara e muscolatura scolpita, età 27, peso 78kg, altezza 180cm.",0,0,100,80,80,80,27,78,180,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea un uomo muscoloso di pelle media, 30 anni, peso 85kg, altezza 182cm.",50,50,50,80,80,80,30,85,182,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una donna snella di pelle chiara, età 23, peso 58kg, altezza 165cm.",0,0,100,0,0,40,23,58,165,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona adulta di genere neutro robusta di pelle scura, 37 anni, peso 100kg, altezza 185cm.",100,0,0,0,0,30,37,100,185,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Crea un uomo snello di pelle chiara, 28 anni, peso 67kg, altezza 177cm.",0,0,100,0,0,40,28,67,177,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea una donna atletica di pelle media, età 35, peso 68kg, altezza 172cm.",50,50,70,60,60,65,35,68,172,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona giovane di genere neutro muscolosa di pelle scura, 26 anni, peso 80kg, altezza 178cm.",100,0,0,80,80,80,26,80,178,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,40,50.0,45.0,50.0,50.0,50.0,50
"Crea un uomo robusto di pelle media, 41 anni, peso 92kg, altezza 185cm.",50,50,50,0,0,30,41,92,185,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una donna muscolosa di pelle chiara, 29 anni, peso 72kg, altezza 168cm.",0,0,100,70,70,70,29,72,168,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona adulta di genere neutro snella di pelle scura, età 36, peso 66kg, altezza 172cm.",100,0,0,0,0,40,36,66,172,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea un uomo muscoloso di pelle chiara, 34 anni, peso 86kg, altezza 183cm.",0,0,100,80,80,80,34,86,183,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una donna giovane con pelle media, vita proporzionata, anni 27, peso 62kg, altezza 166cm.",50,50,50,0,0,40,27,62,166,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Genera una persona di genere neutro con pelle scura, corpo atletico, anni 32, peso 78kg, altezza 178cm.",100,0,0,60,60,60,32,78,178,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea un uomo adulto con pelle media, corporatura muscolosa, anni 38, peso 90kg, altezza 183cm.",50,50,50,80,80,80,38,90,183,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,40,50.0,45.0,50.0,50.0,50.0,50
"Genera una donna adulta con pelle chiara, corpo atletico e vita proporzionata, anni 33, peso 67kg, altezza 171cm.",0,0,100,60,60,65,33,67,171,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona giovane con pelle media, corpo snello e busto proporzionato, anni 24, peso 66kg, altezza 169cm.",50,50,50,0,0,40,24,66,169,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Genera un uomo giovane con pelle scura, muscolatura scolpita, anni 29, peso 82kg, altezza 183cm.",100,0,0,90,90,90,29,82,183,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una donna giovane con pelle abbronzata, vita snella, anni 25, peso 58kg, altezza 164cm.",70,0,30,0,0,40,25,58,164,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Genera una persona di genere neutro robusta di pelle chiara, anni 35, peso 90kg, altezza 177cm.",0,0,100,0,0,30,35,90,177,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea un uomo adulto con pelle scura, busto muscoloso, anni 42, peso 92kg, altezza 186cm.",100,0,0,80,80,80,42,92,186,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Genera una donna adulta con pelle media, corpo proporzionato, anni 37, peso 70kg, altezza 168cm.",50,50,50,0,0,50,37,70,168,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una donna asiatica snella di 26 anni, peso 55kg, altezza 160cm.",0,100,0,0,0,40,26,55,160,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Genera una persona di genere neutro asiatica, corpo atletico, anni 30, peso 72kg, altezza 170cm.",0,100,0,60,60,70,30,72,170,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea un uomo asiatico adulto, muscolatura scolpita, anni 35, peso 85kg, altezza 175cm.",0,100,0,80,80,80,35,85,175,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,40,50.0,45.0,50.0,50.0,50.0,50
"Genera una donna asiatica adulta, vita proporzionata, anni 33, peso 64kg, altezza 168cm.",0,100,0,0,0,50,33,64,168,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Crea una persona asiatica giovane, corpo snello e busto proporzionato, anni 23, peso 60kg, altezza 165cm.",0,100,0,0,0,40,23,60,165,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Genera un uomo asiatico adulto, busto muscoloso, anni 41, peso 92kg, altezza 185cm.",0,100,0,80,80,80,41,92,185,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una donna asiatica giovane, vita snella, anni 24, peso 56kg, altezza 162cm.",0,100,0,0,0,40,24,56,162,50,50,50,0,0,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,40.0,40.0,40.0,50.0,50.0,50
"Genera una persona asiatica robusta di genere neutro, anni 37, peso 88kg, altezza 175cm.",0,100,0,0,0,30,37,88,175,50,0,50,0,1,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,50.0,40.0,50.0,50.0,50.0,50
"Crea un uomo asiatico giovane, corpo atletico e muscolatura scolpita, anni 27, peso 78kg, altezza 180cm.",0,100,0,90,90,90,27,78,180,50,0,50,0,2,0,0,0,0,0,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,40,50.0,45.0,50.0,50.0,50.0,50
"Crea una donna giovane, alta, atletica, di etnia asiatica, con proporzioni snelle, viso ovale e caratteristiche delicate.",0,100,0,0,0,40,25,55,175,50,60,50,0,0,0,0,0,0,0,30,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,80.0,50.0,50.0,40.0,60.0,50
"Crea un uomo adulto, di altezza media, corporatura robusta, etnia caucasica, con spalle larghe e volto squadrato.",0,0,100,0,0,30,35,85,170,50,70,50,0,2,0,0,0,0,0,40,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,50,50,50.0,60.0,70.0,40.0,50.0,50
"Crea una ragazza giovane, bassa, magra, etnia africana, con lineamenti delicati",100,0,0,0,0,40,20,45,160,50,50,50,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30.0,30.0,30.0,30.0,30.0,50
"Crea un uomo anziano, alto, di corporatura snella, etnia asiatica, con un viso allungato",0,100,0,0,0,40,70,60,185,50,30,50,0,2,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,20.0,40.0,30.0,30.0,30.0,50
"Crea una donna adulta, di altezza media, corporatura normale, etnia caucasica, con proporzioni armoniose e viso ovale.",0,0,100,0,0,50,30,65,170,50,70,50,0,0,0,0,0,0,0,40,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50.0,50.0,40.0,50.0,40.0,50
"Crea un ragazzo giovane, alto, muscoloso, di etnia africana, con spalle possenti e viso rettangolare.",100,0,0,80,80,80,25,75,190,50,30,50,0,2,0,0,0,0,0,20,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,60,50,50.0,60.0,60.0,60.0,60.0,50
"Crea una donna giovane, alta, atletica, di etnia asiatica, con proporzioni snelle, viso ovale e caratteristiche delicate.",0,100,0,60,60,60,25,55,175,50,60,50,0,0,0,0,0,0,0,30,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,80.0,50.0,50.0,40.0,60.0,50
"Crea un uomo adulto, di altezza media, corporatura robusta, etnia caucasica, con spalle larghe e volto squadrato.",0,0,100,0,0,30,35,85,170,50,70,50,0,2,0,0,0,0,0,40,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,50,50,50.0,60.0,70.0,40.0,50.0,50
"Crea una ragazza giovane, bassa, magra, etnia africana, con lineamenti delicati",100,0,0,0,0,40,20,45,160,50,50,50,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,30.0,30.0,30.0,30.0,30.0,50
"Crea un uomo anziano, alto, di corporatura snella, etnia asiatica, con un viso allungato",0,100,0,0,0,40,70,60,185,50,30,50,0,2,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,20.0,40.0,30.0,30.0,30.0,50
"Crea una donna adulta, di altezza media, corporatura normale, etnia caucasica, con proporzioni armoniose e viso ovale.",0,0,100,0,0,50,40,65,170,50,70,50,0,0,0,0,0,0,0,40,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50.0,50.0,40.0,50.0,40.0,50
"Crea un ragazzo giovane, alto, muscoloso, di etnia africana, con spalle possenti e viso rettangolare.",100,0,0,80,80,80,25,75,190,50,30,50,0,2,0,0,0,0,0,20,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,60,50,50.0,50.0,60.0,60.0,60.0,50
"Crea una donna adulta, di corporatura snella, etnia asiatica, con un viso rotondo",0,100,0,0,0,40,40,60,165,50,60,50,0,0,0,0,0,0,0,30,60,30,50,0,0,0,0,0,0,0,0,0,0,0,0,50,50,40.0,50.0,50.0,60.0,50.0,50
"Crea un uomo giovane, muscoloso, di altezza media, etnia africana, con spalle larghe e viso ovale.",100,0,0,80,80,80,28,85,175,50,0,50,0,2,0,0,0,0,0,40,60,50,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,50.0,60.0,60.0,50.0,60.0,50
"Crea una ragazza alta, snella, di etnia caucasica, con lineamenti delicati",0,0,100,0,0,40,22,55,180,50,70,50,0,0,0,0,0,0,0,30,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,40.0,50.0,60.0,40.0,50.0,50
"Crea un uomo adulto, alto, muscoloso, etnia asiatica, con un viso triangolare e lineamenti forti.",0,100,0,80,80,80,38,95,185,50,80,50,0,2,0,0,0,0,0,40,50,50,0,0,0,50,0,0,0,0,0,0,0,0,0,60,40,50.0,50.0,60.0,50.0,60.0,50
"Crea una donna giovane, di corporatura normale, etnia africana, con un viso rotondo",100,0,0,0,0,50,24,65,165,50,50,50,0,0,0,0,0,0,0,20,30,40,50,0,0,0,0,0,0,0,0,0,0,0,0,60,50,40.0,60.0,50.0,40.0,60.0,50
"Crea un uomo anziano, basso, snello e di etnia caucasica",0,0,100,0,0,40,70,50,170,50,60,50,0,2,0,0,0,0,0,50,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50.0,50.0,40.0,60.0,50.0,50
"Crea una donna alta, snella, di etnia asiatica, con un viso triangolare",0,100,0,0,0,40,26,60,180,50,70,50,0,0,0,0,0,0,0,20,30,40,0,0,0,50,0,0,0,0,0,0,0,0,0,50,50,50.0,40.0,60.0,60.0,50.0,50
"Crea un ragazzo giovane, di corporatura media, etnia africana, con viso quadrato e caratteristiche muscolose.",100,0,0,80,80,80,30,80,180,50,50,50,0,2,0,0,0,0,0,60,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,60,50.0,60.0,50.0,40.0,50.0,50
"Crea una donna adulta, con altezza media, etnia caucasica, viso quadrato e corporatura snella.",0,0,100,0,0,40,35,70,160,50,70,50,0,0,0,0,0,0,0,40,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,50,40.0,50.0,50.0,60.0,50.0,50
"Crea un uomo giovane, di corporatura robusta, di etnia asiatica, con viso quadrato",0,100,0,0,0,30,26,85,180,50,80,50,0,2,0,0,0,0,0,40,60,0,0,0,50,0,0,0,0,0,0,0,0,0,0,60,50,50.0,50.0,60.0,50.0,60.0,50
"Crea una figura neutra giovane, di altezza media, corporatura snella, etnia asiatica, con un viso ovale.",0,100,0,0,0,40,20,50,170,50,50,50,0,1,0,0,0,0,0,40,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40.0,40.0,50.0,40.0,40.0,50
"Crea una figura neutra adulta, alta, di corporatura media, etnia africana, con un viso triangolare.",100,0,0,0,0,50,35,70,180,50,40,50,0,1,0,0,0,0,0,40,60,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50,50,50.0,40.0,60.0,50.0,50.0,50
"Crea una figura neutra matura, bassa, di corporatura robusta, etnia caucasica, con un viso quadrato.",0,0,100,0,0,30,50,85,160,50,30,50,0,1,0,0,0,0,0,50,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,40.0,50.0,50.0,30.0,50.0,50
"Crea una figura neutra giovane, di altezza media, muscolosa, etnia africana, con un viso rettangolare.",100,0,0,80,80,80,25,75,175,50,40,50,0,1,0,0,0,0,0,50,60,0,0,50,0,0,0,0,0,0,0,0,0,0,0,60,50,50.0,60.0,60.0,60.0,50.0,50
"Crea una figura neutra giovane, di altezza media, proporzioni delicate, etnia asiatica, con un viso ovale.",0,100,0,40,30,55,20,60,165,50,50,50,0,1,0,0,0,0,0,40,50,50,0,30,0,0,0,0,0,0,0,0,0,0,0,40,40,40.0,40.0,50.0,40.0,40.0,50
"Crea un uomo adulto, alto, di corporatura robusta, etnia africana, con spalle larghe e volto rettangolare.",100,0,0,0,0,30,40,95,185,50,30,50,0,2,0,0,0,0,0,30,70,0,0,60,0,0,0,0,0,0,0,0,0,0,0,60,50,60.0,50.0,70.0,60.0,60.0,50
"Crea una donna giovane, bassa, atletica, di etnia asiatica, con viso ovale e proporzioni armoniose.",0,100,0,60,60,60,22,50,160,50,50,50,0,0,0,0,0,0,0,40,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,40.0,50.0,50.0,50.0,50.0,50
"Crea una ragazza giovane, snella, di altezza media, etnia caucasica, con lineamenti delicati.",0,0,100,0,0,40,21,50,165,50,60,50,0,0,0,0,0,0,0,30,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,40.0,40.0,40.0,40.0,40.0,50
"Crea un uomo maturo, di altezza media, con corporatura normale, etnia asiatica, e viso rettangolare.",0,100,0,0,0,50,45,75,175,50,40,50,0,2,0,0,0,0,0,50,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,50,50.0,50.0,50.0,50.0,50.0,50
"Crea una donna anziana, di altezza media, con corporatura robusta, etnia africana, e un viso rotondo.",100,0,0,0,0,30,65,70,165,50,40,50,0,0,0,0,0,0,0,30,30,40,50,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50.0,50.0,50.0,40.0,50.0,50
"Crea un ragazzo giovane, alto, atletico, di etnia caucasica, con spalle larghe e volto ovale.",0,0,100,60,60,60,23,65,180,50,50,50,0,2,0,0,0,0,0,40,60,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50,50,50.0,60.0,60.0,50.0,50.0,50
"Crea una figura neutra matura, alta, di corporatura robusta, etnia africana, con un viso rettangolare.",100,0,0,0,0,30,50,85,185,50,40,50,0,1,0,0,0,0,0,40,60,0,0,50,0,0,0,0,0,0,0,0,0,0,0,60,60,50.0,50.0,60.0,50.0,50.0,50
"Crea una figura neutra giovane, bassa, snella, di etnia asiatica, con un viso ovale e caratteristiche delicate.",0,100,0,0,0,40,19,45,160,50,30,50,0,1,0,0,0,0,0,30,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40.0,40.0,40.0,40.0,40.0,50
"Crea una donna adulta, alta, muscolosa, di etnia asiatica, con spalle larghe e viso triangolare.",0,100,0,70,70,70,30,75,180,50,60,50,0,0,0,0,0,0,0,50,40,40,0,0,0,50,0,0,0,0,0,0,0,0,0,50,50,50.0,50.0,60.0,50.0,50.0,50
